Precipitation,Temp_Max,Temp_Min,Wind,Year,Month,Day,Weather
0,12.8,5,4.7,2012,1,1,drizzle
10.9,10.6,2.8,4.5,2012,1,2,rain
0.8,11.7,7.2,2.3,2012,1,3,rain
20.3,12.2,5.6,4.7,2012,1,4,rain
1.3,8.9,2.8,6.1,2012,1,5,rain
2.5,4.4,2.2,2.2,2012,1,6,rain
0,7.2,2.8,2.3,2012,1,7,rain
0,10,2.8,2,2012,1,8,sun
4.3,9.4,5,3.4,2012,1,9,rain
1,6.1,0.6,3.4,2012,1,10,rain
0,6.1,-1.1,5.1,2012,1,11,sun
0,6.1,-1.7,1.9,2012,1,12,sun
0,5,-2.8,1.3,2012,1,13,sun
4.1,4.4,0.6,5.3,2012,1,14,snow
5.3,1.1,-3.3,3.2,2012,1,15,snow
2.5,1.7,-2.8,5,2012,1,16,snow
8.1,3.3,0,5.6,2012,1,17,snow
19.8,0,-2.8,5,2012,1,18,snow
15.2,-1.1,-2.8,1.6,2012,1,19,snow
13.5,7.2,-1.1,2.3,2012,1,20,snow
3,8.3,3.3,8.2,2012,1,21,rain
6.1,6.7,2.2,4.8,2012,1,22,rain
0,8.3,1.1,3.6,2012,1,23,rain
8.6,10,2.2,5.1,2012,1,24,rain
8.1,8.9,4.4,5.4,2012,1,25,rain
4.8,8.9,1.1,4.8,2012,1,26,rain
0,6.7,-2.2,1.4,2012,1,27,drizzle
0,6.7,0.6,2.2,2012,1,28,rain
27.7,9.4,3.9,4.5,2012,1,29,rain
3.6,8.3,6.1,5.1,2012,1,30,rain
1.8,9.4,6.1,3.9,2012,1,31,rain
13.5,8.9,3.3,2.7,2012,2,1,rain
0,8.3,1.7,2.6,2012,2,2,sun
0,14.4,2.2,5.3,2012,2,3,sun
0,15.6,5,4.3,2012,2,4,sun
0,13.9,1.7,2.9,2012,2,5,sun
0,16.1,1.7,5,2012,2,6,sun
0.3,15.6,7.8,5.3,2012,2,7,rain
2.8,10,5,2.7,2012,2,8,rain
2.5,11.1,7.8,2.4,2012,2,9,rain
2.5,12.8,6.7,3,2012,2,10,rain
0.8,8.9,5.6,3.4,2012,2,11,rain
1,8.3,5,1.3,2012,2,12,rain
11.4,7.2,4.4,1.4,2012,2,13,rain
2.5,6.7,1.1,3.1,2012,2,14,rain
0,7.2,0.6,1.8,2012,2,15,drizzle
1.8,7.2,3.3,2.1,2012,2,16,rain
17.3,10,4.4,3.4,2012,2,17,rain
6.4,6.7,3.9,8.1,2012,2,18,rain
0,6.7,2.2,4.7,2012,2,19,sun
3,7.8,1.7,2.9,2012,2,20,rain
0.8,10,7.8,7.5,2012,2,21,rain
8.6,10,2.8,5.9,2012,2,22,rain
0,8.3,2.8,3.9,2012,2,23,sun
11.4,6.7,4.4,3.5,2012,2,24,rain
0,7.2,2.8,6.4,2012,2,25,rain
1.3,5,-1.1,3.4,2012,2,26,snow
0,6.7,-2.2,3,2012,2,27,sun
3.6,6.7,-0.6,4.2,2012,2,28,snow
0.8,5,1.1,7,2012,2,29,snow
0,6.1,1.1,3.1,2012,3,1,sun
2,6.7,3.9,5.1,2012,3,2,rain
0,12.2,6.7,7,2012,3,3,sun
0,10.6,6.7,5.6,2012,3,4,rain
6.9,7.8,1.1,6.2,2012,3,5,rain
0.5,6.7,0,2.7,2012,3,6,snow
0,8.9,-1.7,2.7,2012,3,7,sun
0,15.6,0.6,2.5,2012,3,8,sun
3.6,9.4,5,2.8,2012,3,9,rain
10.4,7.2,6.1,3.4,2012,3,10,rain
13.7,6.7,2.8,5.8,2012,3,11,rain
19.3,8.3,0.6,6.2,2012,3,12,snow
9.4,5.6,0.6,5.3,2012,3,13,snow
8.6,7.8,1.1,4.7,2012,3,14,rain
23.9,11.1,5.6,5.8,2012,3,15,snow
8.4,8.9,3.9,5.1,2012,3,16,rain
9.4,10,0.6,3.8,2012,3,17,snow
3.6,5,-0.6,2.7,2012,3,18,rain
2,7.2,-1.1,3,2012,3,19,rain
3.6,7.8,2.2,6.4,2012,3,20,rain
1.3,8.9,1.1,2.5,2012,3,21,rain
4.1,10,1.7,2.1,2012,3,22,rain
0,12.2,0.6,2.8,2012,3,23,sun
0,15,3.3,5.2,2012,3,24,sun
0,13.3,2.2,2.7,2012,3,25,rain
0,12.8,6.1,4.3,2012,3,26,drizzle
4.8,14.4,6.7,3.8,2012,3,27,rain
1.3,10.6,7.2,5.9,2012,3,28,rain
27.4,10,6.1,4.4,2012,3,29,rain
5.6,9.4,5,4.7,2012,3,30,rain
13.2,10,2.8,3.4,2012,3,31,rain
1.5,8.9,4.4,6.8,2012,4,1,rain
0,16.7,4.4,3.1,2012,4,2,sun
1.5,11.7,3.3,3.1,2012,4,3,rain
0,10.6,2.8,2.1,2012,4,4,sun
4.6,9.4,2.8,1.8,2012,4,5,snow
0.3,11.1,3.3,2.6,2012,4,6,rain
0,16.1,1.7,4.3,2012,4,7,sun
0,21.1,7.2,4.1,2012,4,8,sun
0,20,6.1,2.1,2012,4,9,sun
0,17.8,8.9,3.2,2012,4,10,rain
2.3,11.1,7.2,2.6,2012,4,11,rain
0.5,13.9,5.6,2.6,2012,4,12,rain
0,15,3.9,4,2012,4,13,drizzle
0,15.6,3.3,3,2012,4,14,sun
0,16.1,7.2,2.9,2012,4,15,rain
8.1,13.3,6.7,5.8,2012,4,16,rain
1.8,10,4.4,2,2012,4,17,rain
1.8,13.3,7.2,3.9,2012,4,18,rain
10.9,13.9,5,2.6,2012,4,19,rain
6.6,13.3,6.7,2.7,2012,4,20,rain
0,20,4.4,2.3,2012,4,21,sun
0,23.3,8.3,2.6,2012,4,22,rain
0,21.7,8.9,3.5,2012,4,23,sun
4.3,13.9,10,2.8,2012,4,24,rain
10.7,16.7,8.9,2.6,2012,4,25,rain
3.8,13.9,6.7,5.2,2012,4,26,rain
0.8,13.3,6.1,4.8,2012,4,27,rain
0,16.1,8.3,2.5,2012,4,28,drizzle
4.3,15.6,8.9,1.6,2012,4,29,rain
4.3,12.8,7.2,8,2012,4,30,rain
0.5,11.7,6.1,6.4,2012,5,1,rain
0.5,13.3,5.6,2.5,2012,5,2,rain
18.5,11.1,7.2,3.4,2012,5,3,rain
1.8,12.2,6.1,4.6,2012,5,4,rain
0,13.3,5,2.3,2012,5,5,sun
0,17.8,5,2.4,2012,5,6,sun
0,23.9,6.1,2.2,2012,5,7,sun
0,18.3,9.4,3,2012,5,8,sun
0,13.3,6.7,3.9,2012,5,9,rain
0,14.4,3.9,3,2012,5,10,sun
0,18.3,4.4,4.3,2012,5,11,sun
0,24.4,6.7,3.4,2012,5,12,sun
0,25.6,9.4,4.2,2012,5,13,sun
0,26.7,12.8,3.8,2012,5,14,sun
